State,REGION,SEX,CITY,Zipcode,DISTRICT,VILLAGE,MARITAL_STATUS,Location,Address type,Ownership,No_of_Active_Loan_In_Bureau,Avg_Disbursement_Amount_Bureau,Non_Agriculture_Income,Total_Land_For_Agriculture,"K022-Village category based on Agri parameters (Good, Average, Poor)",K022-Nearest Mandi Name,K022-Proximity to nearest mandi (Km),K022-Proximity to nearest railway (Km),KO22-Village score based on socio-economic parameters (0 to 100),"K022-Village category based on socio-economic parameters (Good, Average, Poor)",K022-Seasonal Average Rainfall (mm),K022-Ambient temperature (min & max),"R022-Village category based on Agri parameters (Good, Average, Poor)",R022-Seasonal Average Rainfall (mm),R022-Ambient temperature (min & max),K021-Seasonal Average Rainfall (mm),K021-Ambient temperature (min & max),R021-Seasonal Average Rainfall (mm),R021-Ambient temperature (min & max),R020-Seasonal Average Rainfall (mm),R020-Ambient temperature (min & max),Perc_of_house_with_6plus_room,Women_15_19_Mothers_or_Pregnant_at_time_of_survey,perc_of_pop_living_in_hh_electricity,perc_Households_with_Pucca_House_That_Has_More_Than_3_Rooms,mat_roof_Metal_GI_Asbestos_sheets,perc_of_Wall_material_with_Burnt_brick,Households_with_improved_Sanitation_Facility,perc_Households_do_not_have_KCC_With_The_Credit_Limit_Of_50k,K022-Total Geographical Area (in Hectares)-,K022-Net Agri area (in Ha)-,K022-Net Agri area (% of total geog area)-,Kharif Seasons  Irrigated area in 2022,Kharif Seasons  Cropping density in 2022,Kharif Seasons  Agricultural performance in 2022,Kharif Seasons  Agricultural Score in 2022,Kharif Seasons  Type of soil in 2022,Kharif Seasons  Type of water bodies in hectares 2022,Kharif Seasons  Agro Ecological Sub Zone in 2022,Kharif Seasons  Seasonal average groundwater thickness (cm) in 2022,Kharif Seasons  Seasonal average groundwater replenishment rate (cm) in 2022,Rabi Seasons  Season Irrigated area in 2022,Rabi Seasons Cropping density in 2022,Rabi Seasons Agricultural performance in 2022,Rabi Seasons Agricultural Score in 2022,Rabi Seasons Type of soil in 2022,Rabi Seasons Type of water bodies in hectares 2022,Rabi Seasons Agro Ecological Sub Zone in 2022,Rabi Seasons Seasonal average groundwater thickness (cm) in 2022,Rabi Seasons Seasonal average groundwater replenishment rate (cm) in 2022,Rabi Seasons Kharif Season Irrigated area in 2021,Rabi Seasons Cropping density in 2021,Rabi Seasons Agricultural performance in 2021,Rabi Seasons Agricultural Score in 2021,Rabi Seasons Type of soil in 2021,Rabi Seasons Type of water bodies in hectares 2021,Rabi Seasons Agro Ecological Sub Zone in 2021,Rabi Seasons Seasonal average groundwater thickness (cm) in 2021,Rabi Seasons Seasonal average groundwater replenishment rate (cm) in 2021,Kharif Seasons Kharif Season Irrigated area in 2021,Kharif Seasons Cropping density in 2021,Kharif Seasons Agricultural performance in 2021,Kharif Seasons Agricultural Score in 2021,Kharif Seasons Type of soil in 2021,Kharif Seasons Type of water bodies in hectares 2021,Kharif Seasons Agro Ecological Sub Zone in 2021,Kharif Seasons Seasonal average groundwater thickness (cm) in 2021,Kharif Seasons Seasonal average groundwater replenishment rate (cm) in 2021,Kharif Seasons Kharif Season Irrigated area in 2020,Kharif Seasons Cropping density in 2020,Kharif Seasons Agricultural performance in 2020,Kharif Seasons Agricultural Score in 2020,Kharif Seasons Type of soil in 2020,Kharif Seasons Type of water bodies in hectares 2020,Kharif Seasons Agro Ecological Sub Zone in 2020,Kharif Seasons Seasonal average groundwater thickness (cm) in 2020,Kharif Seasons Seasonal average groundwater replenishment rate (cm) in 2020,Rabi Seasons Kharif Season Irrigated area in 2020,Rabi Seasons Cropping density in 2020,Rabi Seasons Agricultural performance in 2020,Rabi Seasons Agricultural Score in 2020,Rabi Seasons Type of soil in 2020,Rabi Seasons Type of water bodies in hectares 2020,Rabi Seasons Agro Ecological Sub Zone in 2020,Rabi Seasons Seasonal average groundwater thickness (cm) in 2020,Rabi Seasons Seasonal average groundwater replenishment rate (cm) in 2020, Village score based on socio-economic parameters (Non normalised), Village score based on socio-economic parameters (0 to 100)," Village category based on socio-economic parameters (Good, Average, Poor)", Road density (Km/ SqKm),Pred_RandomForest,Pred_DecisionTree,Pred_KNN,BestModelPred,ClusterLabel
KARNATAKA,SOUTH,M,TUMAKURU,572102.0,TUMKUR,Tumkur,M,"13.3173175,77.1240408",Permanent Address,Owned,0.0,130000.0,315000.0,2.0,Poor,Tumkur,0.0,0.0,53.38491916877896,Good,1118.77,19.92 /26.84,Poor,360.14,18.22 /28.54,722.28,20.3 /26.86,189.76,17.82 /28.77,114.91,18.92 /29.6,1.27,4.7,99.6,6.92,22.59,62.68,86.1,0.63,980.33,7.887,0.8,8.82,54.17,0.17,2.67,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,101.75,19.91,88.66,8.59,3.93,18.52,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,104.67,30.01,70.53,5.54,7.16,21.48,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,96.51,18.91,88.66,8.59,7.43,19.85,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,96.22,21.66,70.53,5.54,8.64,21.84,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,93.86,25.86,93.45,48.77,9.27,21.95,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,92.35,23.34,34.6332568853763,53.38491916877896,Good,8.85,High,Very High,High,Very High,0
HARYANA,NORTH,M,KALKA,133302.0,PANCHKULA,Kalka,M,"30.4749107,77.1320795",Permanent Address,Owned,1.0,400000.0,0.0,7.0,Poor,Panchkula,15.7,0.0,50.68005652583734,Good,953.8,21.68 /29.42,Poor,320.01,11 /22.29,1132.36,21.83 /29.08,331.01,11.05 /22.88,755.52,10.3 /20.74,6.29,1.4,99.5,15.05,3.35,90.96,82.6,0.24,92.09,10.34,11.23,25.44,56.09,1.68,7.59,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,49.11,20.68,1.02,0.85,4.26,2.04,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,38.65,11.58,5.232,4.36,3.9,2.14,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,36.78,2.52,1.02,0.85,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,44.52,11.45,5.232,4.36,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,41.44,11.44,0.0,0.0,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,43.91,12.77,32.9642519640699,50.68005652583734,Good,43.23,Low,Very High,Low,Very High,0
HARYANA,NORTH,M,PINJORE,134102.0,PANCHKULA,Kalka,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,0.0,130000.0,103000.0,2.0,Poor,Panchkula,15.7,0.0,50.68005652583734,Good,953.8,21.68 /29.42,Poor,320.01,11 /22.29,1132.36,21.83 /29.08,331.01,11.05 /22.88,755.52,10.3 /20.74,6.01,1.4,99.5,15.05,3.52,90.58,82.6,0.24,92.09,10.34,11.23,25.44,56.09,1.68,7.59,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,49.11,20.68,1.02,0.85,4.26,2.04,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,38.65,11.58,5.232,4.36,3.9,2.14,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,36.78,2.52,1.02,0.85,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,44.52,11.45,5.232,4.36,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,41.44,11.44,0.0,0.0,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,43.91,12.77,32.9642519640699,50.68005652583734,Good,43.23,Medium,Medium,High,Medium,0
HARYANA,NORTH,M,PINJORE,134102.0,PANCHKULA,Kalka,S,"23.855855855855857,78.7455814494491",Permanent Address,Owned,0.0,130000.0,100000.0,15.0,Poor,Panchkula,15.7,0.0,50.68005652583734,Good,953.8,21.68 /29.42,Poor,320.01,11 /22.29,1132.36,21.83 /29.08,331.01,11.05 /22.88,755.52,10.3 /20.74,6.01,1.4,99.5,15.05,3.52,90.58,82.6,0.24,92.09,10.34,11.23,25.44,56.09,1.68,7.59,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,49.11,20.68,1.02,0.85,4.26,2.04,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,38.65,11.58,5.232,4.36,3.9,2.14,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,36.78,2.52,1.02,0.85,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,44.52,11.45,5.232,4.36,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,41.44,11.44,0.0,0.0,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,43.91,12.77,32.9642519640699,50.68005652583734,Good,43.23,High,High,High,High,3
HARYANA,NORTH,M,PINJORE,134102.0,PANCHKULA,Kalka,M,"30.7982131,76.9209035",Permanent Address,Owned,1.0,1976650.0,0.0,13.0,Poor,Panchkula,15.7,0.0,50.68005652583734,Good,953.8,21.68 /29.42,Poor,320.01,11 /22.29,1132.36,21.83 /29.08,331.01,11.05 /22.88,755.52,10.3 /20.74,6.01,1.4,99.5,15.05,3.52,90.58,82.6,0.24,92.09,10.34,11.23,25.44,56.09,1.68,7.59,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,49.11,20.68,1.02,0.85,4.26,2.04,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,38.65,11.58,5.232,4.36,3.9,2.14,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,36.78,2.52,1.02,0.85,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,44.52,11.45,5.232,4.36,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,41.44,11.44,0.0,0.0,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,43.91,12.77,32.9642519640699,50.68005652583734,Good,43.23,Very High,Very High,Very High,Very High,3
HARYANA,NORTH,M,PINJORE,134102.0,PANCHKULA,Kalka,M,"30.8814403,76.8557294",Permanent Address,Owned,0.0,130000.0,40000.0,2.0,Poor,Panchkula,15.7,0.0,50.68005652583734,Good,953.8,21.68 /29.42,Poor,320.01,11 /22.29,1132.36,21.83 /29.08,331.01,11.05 /22.88,755.52,10.3 /20.74,6.01,1.4,99.5,15.05,3.52,90.58,82.6,0.24,92.09,10.34,11.23,25.44,56.09,1.68,7.59,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,49.11,20.68,1.02,0.85,4.26,2.04,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,38.65,11.58,5.232,4.36,3.9,2.14,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,36.78,2.52,1.02,0.85,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,44.52,11.45,5.232,4.36,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,41.44,11.44,0.0,0.0,0.0,0.03,Alluvial-derived Soils (with saline phases),[None],NORTHERN PLAIN  HOT SUBHUMID (DRY) ECO-REGION,43.91,12.77,32.9642519640699,50.68005652583734,Good,43.23,Low,High,Low,High,0
KARNATAKA,SOUTH,M,HOSAPETE,583201.0,BELLARY,Hospet,S,"23.855855855855857,78.7455814494491",Permanent Address,Owned,0.0,130000.0,400000.0,20.0,Poor,Hospet,0.0,0.2,57.34627144485791,Average,948.52,21.68 /28.35,Poor,257.59,20.07 /30.75,702.73,21.96 /28.49,103.64,19.62 /30.81,114.82,20.98 /31.51,1.32,3.2,98.9,2.93,26.83,39.62,64.1,0.64,873.08,88.902,10.18,26.41,47.49,0.47,7.26,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),92.46,22.76,84.77,3.28,4.69,18.16,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),94.15,16.99,84.77,2.64,18.43,29.82,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),91.43,20.99,84.77,3.28,9.98,20.15,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),88.39,17.62,84.77,2.64,15.51,27.6,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),89.73,25.04,82.0,9.66,35.3,30.79,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),89.01,20.34,37.0775645329594,57.34627144485791,Average,8.18,High,Very High,High,Very High,0
KARNATAKA,SOUTH,F,HOSAPETE,583201.0,BELLARY,Hospet,M,"15.3513415,76.1373734",Permanent Address,Owned,1.0,504000.0,0.0,23.29,Poor,Hospet,0.0,0.2,57.34627144485791,Average,948.52,21.68 /28.35,Poor,257.59,20.07 /30.75,702.73,21.96 /28.49,103.64,19.62 /30.81,114.82,20.98 /31.51,1.32,3.2,98.9,2.93,26.83,39.62,64.1,0.64,873.08,88.902,10.18,26.41,47.49,0.47,7.26,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),92.46,22.76,84.77,3.28,4.69,18.16,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),94.15,16.99,84.77,2.64,18.43,29.82,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),91.43,20.99,84.77,3.28,9.98,20.15,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),88.39,17.62,84.77,2.64,15.51,27.6,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),89.73,25.04,82.0,9.66,35.3,30.79,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),89.01,20.34,37.0775645329594,57.34627144485791,Average,8.18,High,Very High,High,Very High,0
KARNATAKA,SOUTH,M,HOSAPETE,583201.0,BELLARY,Hospet,M,"15.3534534,76.5291332",Permanent Address,Owned,0.0,130000.0,400000.0,20.0,Poor,Hospet,0.0,0.2,57.34627144485791,Average,948.52,21.68 /28.35,Poor,257.59,20.07 /30.75,702.73,21.96 /28.49,103.64,19.62 /30.81,114.82,20.98 /31.51,1.32,3.2,98.9,2.93,26.83,39.62,64.1,0.64,873.08,88.902,10.18,26.41,47.49,0.47,7.26,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),92.46,22.76,84.77,3.28,4.69,18.16,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),94.15,16.99,84.77,2.64,18.43,29.82,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),91.43,20.99,84.77,3.28,9.98,20.15,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),88.39,17.62,84.77,2.64,15.51,27.6,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),89.73,25.04,82.0,9.66,35.3,30.79,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),89.01,20.34,37.0775645329594,57.34627144485791,Average,8.18,High,Very High,High,Very High,0
KARNATAKA,SOUTH,F,SHAKTINAGAR,584134.0,RAICHUR,Hospet,M,"16.2906434,77.3003643",Permanent Address,Owned,2.0,39500.0,0.0,15.0,Poor,Hospet,0.0,0.2,57.34627144485791,Average,948.52,21.68 /28.35,Poor,257.59,20.07 /30.75,702.73,21.96 /28.49,103.64,19.62 /30.81,114.82,20.98 /31.51,1.39,8.15,99.6,5.18,26.16,36.48,56.3,1.05,873.08,88.902,10.18,26.41,47.49,0.47,7.26,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),92.46,22.76,84.77,3.28,4.69,18.16,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),94.15,16.99,84.77,2.64,18.43,29.82,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),91.43,20.99,84.77,3.28,9.98,20.15,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),88.39,17.62,84.77,2.64,15.51,27.6,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),89.73,25.04,82.0,9.66,35.3,30.79,Mixed Red and Black Soils,[None],KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),89.01,20.34,37.0775645329594,57.34627144485791,Average,8.18,Very High,Very High,Medium,Very High,0
